genome,domain,phylum,class,order,family,genus,species,completeness,contamination,mag_size
EHA03206_bin.14,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Plesiomonas,s__Plesiomonas shigelloides,82.26,3.6,3030699
EHA03161_bin.10,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola massiliensis,60.27,2.31,2474232
EHA02611_bin.54,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA9414,s__,50.93,4.24,1854508
EHA03189_bin.42,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,64.27,6.99,2160407
EHA03161_bin.61,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__Blautia coccoides,87.61,7.75,5475173
EHA02611_bin.37,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__,100,1.22,1890629
EHA03206_bin.23,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_D,s__,99.98,0.03,1537304
EHA03161_bin.75,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides xylanisolvens,83.64,4.74,4479036
EHA01634_bin.9,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Plesiomonas,s__Plesiomonas shigelloides,90.6,2.589,2746158
EHA03161_bin.21,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_X,s__,99.72,1.42,2334000
EHA02611_bin.32,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Sarcina,s__,94.44,0.48,2196345
EHA02611_bin.9,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__,s__,83.35,1.55,1651380
EHA03206_bin.7,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_G,s__,99.95,0,1333144
EHA03161_bin.58,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__UBA1367,s__UBA1367 sp900314645,65.72,2.83,2377274
EHA01595_bin.1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola vulgatus,95.46,1.503,4255551
EHA03161_bin.26,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_D,s__Campylobacter_D volucris,86.54,0.04,1261729
EHA02637_bin.61,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,s__Flavonifractor plautii,72.5,1.19,1517629
EHA03085_bin.25,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A sp018205345,70.73,8.2,1364662
EHA02637_bin.35,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster clostridioformis_A,99.72,0.97,5006847
EHA03189_bin.28,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,63.41,0.99,2801312
EHA03138_bin.50,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Tissierellales,f__,g__,s__,52.52,7.26,1102174
EHA03138_bin.48,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Tissierellales,f__Tissierellaceae,g__,s__,50.63,9.31,846384
EHA03206_bin.5,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Catellicoccaceae,g__Catellicoccus,s__,100,0.1,1412153
EHA01634_bin.28,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Anaerotruncus,s__,93.28,0.938,1876391
EHA03189_bin.10,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__RGIG1987,s__,77.95,0.42,733059
EHA03161_bin.52,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides distasonis,99.5,1.66,4335884
EHA03128_bin.14,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__,s__,82.49,3.16,1472062
EHA01666_bin.8,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,81.43,8.027,1842423
EHA03189_bin.35,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__,s__,91.77,0.89,1640911
EHA03138_bin.47,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A sp018205345,59.57,3.13,1246497
EHA01595_bin.9,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__,s__,97.06,0.997,1635587
EHA03138_bin.52,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,79.66,3.79,2066147
EHA02611_bin.59,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_H,s__,50.18,1.55,1265860
EHA03189_bin.32,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Ureaplasma,s__,77.4,0.19,693427
EHA03128_bin.7,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,91.01,1.76,1920443
EHA02637_bin.18,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Edwardsiella,s__Edwardsiella tarda,99.98,0.29,3434725
EHA01709_bin.31,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__,98.41,0.694,2419316
EHA02611_bin.49,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,67.82,2.34,1665419
EHA03128_bin.34,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-793,s__,61.56,9.38,648195
EHA01666_bin.15,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,99.92,0,2602434
EHA01634_bin.46,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Catellicoccaceae,g__Catellicoccus,s__Catellicoccus marimammalium,98.34,0.736,1245718
EHA03128_bin.18,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__RGIG4373,s__,96.12,4.72,1239373
EHA02637_bin.51,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A sp018205345,97.23,3.29,4252426
EHA03138_bin.63,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Savagea,s__,51.26,4.21,1525783
EHA03138_bin.21,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_H,s__Clostridium_H haemolyticum,74.29,0.1,1819711
EHA03161_bin.68,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Mailhella,s__,99.86,0,2133075
EHA03161_bin.4,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Anaerotruncus,s__,50.03,0.93,1150331
EHA01666_bin.21,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__,95.66,1.068,1515236
EHA03161_bin.98,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides caccae,86.83,4.27,4405980
EHA01666_bin.11,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__,98.65,0.374,2276711
EHA03138_bin.60,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__,63.44,7.85,2161898
EHA02637_bin.7,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Sarcina,s__Sarcina perfringens,90.3,0,1999736
EHA01709_bin.43,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__,91.66,3.183,1597129
EHA03138_bin.31,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__,s__,78.4,0.23,1313437
EHA03138_bin.25,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__,s__,98.29,0.03,1235128
EHA03138_bin.11,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Ureaplasma,s__,74.22,1.92,623639
EHA02637_bin.82,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_A,g__Parasutterella,s__Parasutterella excrementihominis,56.48,0.74,3185561
EHA03138_bin.42,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__,55.34,9.53,1951735
EHA01666_bin.26,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__,87.61,0.136,1181433
EHA02611_bin.31,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Cellulosilyticaceae,g__Zhenhengia,s__,98.27,0.15,1629418
EHA02637_bin.75,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_D,s__,74.98,1.08,656342
EHA03128_bin.2,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,88.98,3.76,1720855
EHA02611_bin.34,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,82.12,2.33,1533764
EHA01598_bin.13,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,52.5,0,1062340
EHA03206_bin.3,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__,50.56,6.53,1753632
EHA03189_bin.41,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__RGIG1987,s__,66.67,7.03,546068
EHA03161_bin.69,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_G,s__,99.96,0.01,1455729
EHA03128_bin.27,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,94.73,0.29,1503403
EHA03161_bin.32,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasma_L,s__,88.49,0.48,857799
EHA03161_bin.50,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasma_L,s__,81.59,1.43,938184
EHA03161_bin.91,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium sardiniense,94.62,1.12,3493233
EHA01595_bin.8,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides fragilis,99.25,0,5020724
EHA03130_bin.7,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,s__,67.35,0.44,1130998
EHA01589_bin.2,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_D,s__,97.23,1.102,1716490
EHA03138_bin.5,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__GCA-900066495,s__,76.21,5.34,1368943
EHA03128_bin.28,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_F,s__,77.85,0.75,2211905
EHA03206_bin.10,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_D,s__,96.79,0.4,1404743
EHA01634_bin.19,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium tertium,95.65,1.148,3520802
EHA03161_bin.28,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,s__,99.96,0.07,1766178
EHA03189_bin.47,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,59.66,4.21,1679731
EHA03138_bin.28,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Tissierellales,f__Tissierellaceae_A,g__,s__,67.73,0.76,1308070
EHA03161_bin.15,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__,99.24,0.98,2662150
EHA03128_bin.11,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus gallolyticus,99.96,0.72,2054746
EHA03161_bin.27,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Anaerofilum,s__,98.39,0.67,2112124
EHA03138_bin.41,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__,s__,76.62,5.55,1859744
EHA03161_bin.18,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Thomasclavelia,s__Thomasclavelia ramosa,90.2,3.09,2966966
EHA02611_bin.11,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,90.39,1.21,3704706
EHA01634_bin.6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides stercoris,97.58,0.464,3590997
EHA01634_bin.3,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_J,s__,93.63,0,2482936
EHA03138_bin.64,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,50.04,0.05,800077
EHA03161_bin.44,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus amylovorus,95.68,1.2,1977323
EHA03085_bin.13,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_D,s__,85.88,2.08,1395988
EHA03189_bin.34,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__,s__,99.84,1.22,1738761
EHA03206_bin.26,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A sp018205345,80.26,4.74,1934459
EHA03085_bin.26,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,60.98,8.74,2143311
EHA03138_bin.17,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA9414,s__,98.14,0.67,2010942
EHA03161_bin.83,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Vagococcaceae,g__Vagococcus,s__,71.45,2.53,1497814
EHA03161_bin.108,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,s__Lawsonibacter sp000177015,51.99,0.83,1432994
EHA03128_bin.35,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__,70.27,3.2,1523403
EHA03085_bin.28,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__,51.24,3.58,833562
EHA03189_bin.12,d__Bacteria,p__Bacillota,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__RGIG1987,s__,88.86,3.17,765979
EHA02611_bin.44,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__GCA-900066495,s__,99.99,1.43,2023690
EHA03130_bin.3,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Tissierellales,f__Tissierellaceae,g__,s__,79.02,2.05,1252392
EHA01709_bin.65,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,50.86,3.448,1138975
EHA02611_bin.15,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,99.86,0.26,2660349
EHA02611_bin.16,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__,98.92,0.11,2284639
EHA03189_bin.20,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__,s__,94.15,2.65,1860135
EHA02637_bin.44,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus johnsonii,93.09,0.47,1608628
EHA03128_bin.9,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,68.76,3.14,1428831
EHA02611_bin.28,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A sp018205345,99.98,0.02,1516220
EHA01709_bin.62,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__,77.38,4.487,1623513
EHA03206_bin.25,d__Bacteria,p__Bacillota_B,c__Peptococcia,o__Peptococcales,f__Peptococcaceae,g__,s__,98.33,0.05,1425866
EHA03161_bin.37,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Terrisporobacter,s__Terrisporobacter othiniensis,83.82,3.72,3074350
EHA02611_bin.48,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,79.22,2.99,1820152
EHA03206_bin.24,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_D,s__,98.35,2.14,1584534
EHA03161_bin.41,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A sp900555845,54.74,2.48,1014061
EHA02637_bin.78,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium sp015667795,85.31,1.44,1852834
EHA03161_bin.85,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Sellimonas,s__Sellimonas intestinalis,97.36,1.18,2508618
EHA01598_bin.9,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__,s__,90.66,1.303,2345063
EHA03161_bin.40,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,s__,84.75,0.55,1485624
EHA03138_bin.66,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__,71.51,6.3,1720730
EHA03206_bin.1,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__Fusobacterium_A sp900015295,99.99,0.91,1975022
EHA01666_bin.24,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__,s__,57.21,0,1710717
EHA03161_bin.6,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Dwaynesavagella,s__,98.98,0.2,1558041
EHA03138_bin.29,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__F6-6636,s__,96.72,0.01,946213
EHA01709_bin.35,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,57.36,1.724,1567091
EHA03138_bin.45,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__,67.45,0.72,2155014
EHA01595_bin.6,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_D,s__,99.64,0.353,1613761
EHA03161_bin.17,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Paraclostridium,s__Paraclostridium sordellii,99.78,1.27,3218486
EHA03130_bin.5,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_E,s__,99.64,0.7,2574702
EHA03161_bin.72,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,85.41,5.35,2710253
EHA03161_bin.7,d__Bacteria,p__Deferribacterota,c__Deferribacteres,o__Deferribacterales,f__Mucispirillaceae,g__,s__,96.24,0.13,2116395
EHA03161_bin.1,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Vagococcaceae,g__Vagococcus_C,s__Vagococcus_C humatus,88.84,1.77,1932257
EHA01589_bin.9,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__Peptostreptococcus russellii_A,99.3,0,2014505
EHA01709_bin.1,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_H,s__Clostridium_H massiliodielmoense,87.45,6.479,2275212
EHA01589_bin.14,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Faecalicoccus,s__Faecalicoccus sp900546545,86.79,1.266,1865859
EHA03161_bin.22,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Cellulosilyticaceae,g__Zhenhengia,s__Zhenhengia yiwuensis,80.48,2.16,2985375
EHA02637_bin.73,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__,s__,74.21,0.74,1076801
EHA03138_bin.70,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__,53.13,4.86,1288078
EHA03189_bin.44,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__,50.08,9.17,1906923
EHA03138_bin.10,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_E,s__,97.5,0.44,2593657
EHA03138_bin.14,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,s__,93.18,0.42,1441003
