"genome"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"completeness"	"contamination"	"mag_size"
"3"	"EHA01709_bin.77"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__"	75.87	4.17	4212517
"104"	"EHA02611_bin.11"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia coli"	90.39	1.21	3704706
"122"	"EHA02611_bin.15"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	"g__Porphyromonas"	"s__"	99.86	0.26	2660349
"123"	"EHA02611_bin.16"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Alloprevotella"	"s__"	98.92	0.11	2284639
"201"	"EHA02611_bin.22"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Peptoniphilaceae"	"g__Anaerosphaera"	"s__"	98.77	0.24	1354865
"214"	"EHA02611_bin.24"	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__"	"s__"	99.99	0.09	1323819
"127"	"EHA02611_bin.28"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp018205345"	99.98	0.02	1516220
"77"	"EHA02611_bin.31"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Cellulosilyticaceae"	"g__Zhenhengia"	"s__"	98.27	0.15	1629418
"28"	"EHA02611_bin.32"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Sarcina"	"s__"	94.44	0.48	2196345
"219"	"EHA02611_bin.33"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	93.86	2.1	2591257
"80"	"EHA02611_bin.34"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	82.12	2.33	1533764
"23"	"EHA02611_bin.37"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	100	1.22	1890629
"204"	"EHA02611_bin.39"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	80.41	1.53	1153524
"119"	"EHA02611_bin.44"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__GCA-900066495"	"s__"	99.99	1.43	2023690
"131"	"EHA02611_bin.48"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	79.22	2.99	1820152
"55"	"EHA02611_bin.49"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	67.82	2.34	1665419
"189"	"EHA02611_bin.53"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__"	"s__"	66.03	5.64	1116267
"20"	"EHA02611_bin.54"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__UBA9414"	"s__"	50.93	4.24	1854508
"50"	"EHA02611_bin.59"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_H"	"s__"	50.18	1.55	1265860
"29"	"EHA02611_bin.9"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__"	"s__"	83.35	1.55	1651380
"167"	"EHA02637_bin.10"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__"	"s__"	90.49	2.12	1407615
"178"	"EHA02637_bin.13"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Gemmiger"	"s__"	99.91	0.27	2939468
"197"	"EHA02637_bin.16"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Anaerotignaceae"	"g__Anaerotignum"	"s__Anaerotignum sp001304995"	99.68	0.02	2579061
"53"	"EHA02637_bin.18"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Edwardsiella"	"s__Edwardsiella tarda"	99.98	0.29	3434725
"36"	"EHA02637_bin.35"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Enterocloster"	"s__Enterocloster clostridioformis_A"	99.72	0.97	5006847
"9"	"EHA02637_bin.37"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Cellulosilyticaceae"	"g__Zhenhengia"	"s__"	98.58	1.47	3690239
"125"	"EHA02637_bin.44"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus johnsonii"	93.09	0.47	1608628
"215"	"EHA02637_bin.50"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__Prevotella sp002353825"	98.12	1.42	1992756
"60"	"EHA02637_bin.51"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp018205345"	97.23	3.29	4252426
"34"	"EHA02637_bin.61"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Flavonifractor"	"s__Flavonifractor plautii"	72.5	1.19	1517629
"206"	"EHA02637_bin.63"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Lactococcus"	"s__Lactococcus lactis"	100	0.14	2032098
"16"	"EHA02637_bin.64"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Hathewaya"	"s__Hathewaya sp003288255"	100	0.13	2318333
"202"	"EHA02637_bin.67"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	99.78	0.87	1571106
"168"	"EHA02637_bin.70"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp900555845"	77.23	2.24	2608093
"155"	"EHA02637_bin.73"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__"	"s__"	74.21	0.74	1076801
"78"	"EHA02637_bin.75"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__Helicobacter_D"	"s__"	74.98	1.08	656342
"134"	"EHA02637_bin.78"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium sp015667795"	85.31	1.44	1852834
"69"	"EHA02637_bin.7"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Sarcina"	"s__Sarcina perfringens"	90.3	0	1999736
"177"	"EHA02637_bin.80"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia marmotae"	99.95	0.09	1455777
"74"	"EHA02637_bin.82"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae_A"	"g__Parasutterella"	"s__Parasutterella excrementihominis"	56.48	0.74	3185561
"228"	"EHA03085_bin.10"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__"	99.56	0.01	1612933
"109"	"EHA03085_bin.13"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__Helicobacter_D"	"s__"	85.88	2.08	1395988
"4"	"EHA03085_bin.15"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides uniformis"	79.13	1.25	3238644
"227"	"EHA03085_bin.16"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides nordii"	87.59	1.24	5140684
"35"	"EHA03085_bin.25"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp018205345"	70.73	8.2	1364662
"112"	"EHA03085_bin.26"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	60.98	8.74	2143311
"117"	"EHA03085_bin.28"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	51.24	3.58	833562
"5"	"EHA03085_bin.2"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae_A"	"g__Parasutterella"	"s__Parasutterella sp900766055"	99.99	0.87	2733717
"169"	"EHA03085_bin.3"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia coli"	83.73	2.91	3813447
"6"	"EHA03085_bin.5"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__"	100	0.08	1521764
"100"	"EHA03128_bin.11"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus gallolyticus"	99.96	0.72	2054746
"207"	"EHA03128_bin.12"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__"	53.74	9.99	1585039
"44"	"EHA03128_bin.14"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__"	"s__"	82.49	3.16	1472062
"59"	"EHA03128_bin.18"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__RGIG4373"	"s__"	96.12	4.72	1239373
"85"	"EHA03128_bin.27"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	94.73	0.29	1503403
"93"	"EHA03128_bin.28"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_F"	"s__"	77.85	0.75	2211905
"79"	"EHA03128_bin.2"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__UBA932"	"g__Cryptobacteroides"	"s__"	88.98	3.76	1720855
"56"	"EHA03128_bin.34"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__TANB77"	"f__CAG-508"	"g__CAG-793"	"s__"	61.56	9.38	648195
"116"	"EHA03128_bin.35"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	70.27	3.2	1523403
"52"	"EHA03128_bin.7"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__"	"s__"	91.01	1.76	1920443
"126"	"EHA03128_bin.9"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	68.76	3.14	1428831
"209"	"EHA03130_bin.11"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Tissierellaceae"	"g__"	"s__"	90.43	0.03	1449622
"199"	"EHA03130_bin.12"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__"	"g__"	"s__"	86.39	1.04	1214359
"226"	"EHA03130_bin.13"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Tepidimicrobiaceae"	"g__"	"s__"	68.74	0.78	1682530
"213"	"EHA03130_bin.14"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Tepidimicrobiaceae"	"g__"	"s__"	91.86	2.97	2054510
"179"	"EHA03130_bin.2"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Cardiobacteriales"	"f__Wohlfahrtiimonadaceae"	"g__"	"s__"	61.9	6.91	1407550
"120"	"EHA03130_bin.3"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Tissierellaceae"	"g__"	"s__"	79.02	2.05	1252392
"181"	"EHA03130_bin.4"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides_E"	"s__"	99.12	0.04	2434284
"147"	"EHA03130_bin.5"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides_E"	"s__"	99.64	0.7	2574702
"192"	"EHA03130_bin.6"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Tissierellaceae"	"g__"	"s__"	80.39	0.03	1220604
"90"	"EHA03130_bin.7"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Ligilactobacillus"	"s__"	67.35	0.44	1130998
"13"	"EHA03130_bin.9"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Tissierellaceae"	"g__"	"s__"	59.32	1.01	1195280
"158"	"EHA03138_bin.10"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides_E"	"s__"	97.5	0.44	2593657
"73"	"EHA03138_bin.11"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__Ureaplasma"	"s__"	74.22	1.92	623639
"159"	"EHA03138_bin.14"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Ligilactobacillus"	"s__"	93.18	0.42	1441003
"1"	"EHA03138_bin.16"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Bulleidia"	"s__"	89.62	3.55	1452671
"113"	"EHA03138_bin.17"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__UBA9414"	"s__"	98.14	0.67	2010942
"160"	"EHA03138_bin.20"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__"	82.28	1.81	1934021
"62"	"EHA03138_bin.21"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_H"	"s__Clostridium_H haemolyticum"	74.29	0.1	1819711
"200"	"EHA03138_bin.22"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_H"	"s__Clostridium_H massiliodielmoense"	86.15	0.8	2357334
"72"	"EHA03138_bin.25"	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"	"g__"	"s__"	98.29	0.03	1235128
"220"	"EHA03138_bin.27"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__"	"g__"	"s__"	55.09	3.74	849286
"98"	"EHA03138_bin.28"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Tissierellaceae_A"	"g__"	"s__"	67.73	0.76	1308070
"142"	"EHA03138_bin.29"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__F6-6636"	"s__"	96.72	0.01	946213
"71"	"EHA03138_bin.31"	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__"	"s__"	78.4	0.23	1313437
"14"	"EHA03138_bin.32"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Paraclostridium"	"s__Paraclostridium sordellii"	86.44	8.77	1508472
"8"	"EHA03138_bin.33"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__"	67.11	8.65	2821329
"183"	"EHA03138_bin.36"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium septicum"	93.93	0.3	3135374
"216"	"EHA03138_bin.37"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_G"	"s__"	83.95	0.53	2389823
"102"	"EHA03138_bin.41"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__"	"s__"	76.62	5.55	1859744
"75"	"EHA03138_bin.42"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__"	55.34	9.53	1951735
"144"	"EHA03138_bin.45"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__"	67.45	0.72	2155014
